customer_id,company_name,group_key_promoters,activity_company,address_company
H-100021,Ra Chem Pharma Limited,Laxmi Ra holdings and investments Pvt Ltd,PHARMACEUTICALS,"Plot No: 26 & 27, Techno Industrial Estate, Balanagar,Hyderabad"
H-100027,Amar Raja Batteries,Ramchandra Galla,BATTERY MANUFACTURING,"Terminal A 1-18/1/AMR/NR NANAKRAMGUDA, Gachibowli"
H-100028,Jai Raj ispat,P Srinivas Kumar,STEEL MANUFACRING,"8 Phase III IDA Jeedimetla,City: Hyderabad,Dist: Hyderabad,"
H-100034,Virchow Petrochemicals,Prasanth Nandigala,PETROCHEMICALS,"Plot No. 10, SV Co-op Industrial Estate, IDA Jeedimetla,"
H-100036,MYLAN LABORATORIES LTD. (FORMERLY MATRIX LABORATORIES LTD),B Haribabu,Pharmaceuticals,"Plot No 564/A/22, Road No 92, Jubilee Hills, Hyderabad, Telangana 500034"
H-100038,L AND T METRO RAIL,L and T,Infrastructure,"Hyderabad Metro Train Depot, Nagole, IDA Uppal, Uppal, Hyderabad, Telangana 500039"
H-100039,AUROBINDO PHARMA LTD,K Govindarajan Narayanan,Pharmaceuticals,"Water Mark Building, Plot No. 11, Survey no.9,, Kondapur, Hitech City,, Hyderabad, Telangana 500084"
H-100041,KSK MAHANADI POWER CO. LTD.,Kishore Sethuraman,Infrastructure,"8-2-293/82/A/476, No 22 Rd, Jawahar Colony, Jubilee Hills, Hyderabad, Telangana 500033"
H-100042,NAVA BHARAT VENTURES LTD,Ashok Devineni,Manufacturing,"6-3-1109/1, Nava Bharat Chamber, Lakdikapul, Raj Bhavan Road, Somajiguda, Somajiguda, Hyderabad, Andhra Pradesh 500082"
H-100044,SIMHAPURI ENERGY LIMITED,Krishnaiah Nama,Power,"6-3-866/2, Above Canara Bank Floor-3 Greenlands, Begumpet, Begumpet, Hyderabad, Telangana 500016"
K-100015,Birla Corporation Ltd,Harsh Vardhan Lodha,Mfg of Cement,KOLKATA
K-100016,Coal India,GoI,Mining - Coal,KOLKATA
K-100030,LA OPALA RG LIMITED,Sushil Jhunjhunwala,MFG. OF GLASS AND GLASS PRODUCTS,"230A, AJC Bose Road, Chitrakoot Building, 10th Floor, Kolkata"
K-100201,Himadri Chemicals & Industries,Anurag Choudhary,MFG OF COKE OR COKE OVEN PRODUCTS,Kolkata
